company,order,lag,seasonal_order,cv_rmse,cv_mae,cv_aic,insample_rmse,insample_mae,exog_coef,exog_pvalue,splits,converged
明豊エンタープライズ,"(1, 0, 1)",0,"(0, 0, 0, 0)",0.18232019632126306,0.12362642790386516,-31.89798670126263,0.19027237953882276,0.11628994647986857,0.5026729762968921,0.005447402387499327,5,True
明豊エンタープライズ,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.17611627798996482,0.12317988796051405,-48.61847721455987,0.17780576430058645,0.11464772835886136,1.3390748519890232,1.5216194606921328e-18,5,True
明豊エンタープライズ,"(2, 0, 1)",0,"(0, 0, 0, 0)",0.2917226832632538,0.2385256650956543,-22.07124841828594,0.1909387618725574,0.11754086980571798,0.6330670125939518,0.000661718880788027,5,True
明豊エンタープライズ,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.1741652339113868,0.12250498557665353,-46.890230203559405,0.17828779072930903,0.11621194095426253,1.3692337652890876,7.292790878387099e-25,5,False
明和地所,"(1, 0, 1)",0,"(0, 0, 0, 0)",0.0976975883664544,0.07269117303736677,-220.391928192257,0.10083251742936912,0.07116057720884512,0.11310078600966482,0.23986517382963302,5,True
明和地所,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.08936368283633757,0.0649162925909324,-253.9683748290525,0.09003293438079413,0.06316989813829299,0.8730636144568231,3.5907353271056674e-25,5,True
明和地所,"(2, 0, 1)",0,"(0, 0, 0, 0)",0.09723821400664769,0.0721915382060199,-219.80377968267535,0.10083203119928073,0.0711594090909859,0.11476932441472834,0.23287196339376603,5,True
明和地所,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.08966530221984852,0.06526243441018667,-257.68364623864665,0.08929118431528894,0.06467078732956817,0.9449759020781103,4.482643711460211e-28,5,True
ゴールドクレスト,"(1, 0, 1)",0,"(0, 0, 0, 0)",0.10100372531304384,0.07850853402067662,-198.01401328656834,0.10622268301264919,0.07941015165965913,0.387588732823678,0.0007498995318162834,5,True
ゴールドクレスト,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.09480508495626964,0.07180269927863522,-223.02448119676973,0.09879176041609881,0.07262293872852263,0.8267136402488724,3.806594017519229e-31,5,True
ゴールドクレスト,"(2, 0, 1)",0,"(0, 0, 0, 0)",0.1010192985669146,0.07824956381561146,-196.6150343087718,0.10615127287515795,0.07888800937762756,0.4086239937159915,0.0004896874710684441,5,True
ゴールドクレスト,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.09448848518564211,0.07164096626046557,-221.8437333690882,0.09864643392891952,0.07252898486622764,0.8228709282138907,1.5812813824123103e-30,5,False
