company,rmse_lag0,rmse_lag1,rmse_lag2,rmse_lag3,rmse_lag4,rmse_lag5,rmse_lag6,best_lag,best_rmse
アーバネットコーポレーション,0.0532712341730778,0.0540988794522945,0.0499391748190564,0.0491479518265231,0.0509125581564483,0.0500461362954562,0.050322493588712,3,0.0491479518265231
エスリード,0.0528096763747713,0.0565493913283119,0.0563789746214023,0.0559563707375129,0.0542431530271632,0.0544955997495889,0.0544462449097863,0,0.0528096763747713
コスモスイニシア,0.0935851889179137,0.0928520542770592,0.0930013760339202,0.0918322249091281,0.0921613378253148,0.0926617315487141,0.0920721376685008,3,0.0918322249091281
コーセーアールイー,0.0460140916708753,0.059981195236091,0.0440997197835948,0.0417787388534161,0.0404397512255829,0.0371197165711624,0.0369560959401459,6,0.0369560959401459
ゴールドクレスト,0.0544082387309303,0.0550857436528662,0.0540771646272875,0.0541389464062122,0.0550463653642451,0.0539237617005145,0.0534081509716474,6,0.0534081509716474
シーラホールディングス,0.1144740366137657,0.1147085016109827,0.1108249514463367,0.1142256234174585,0.1150005151749621,0.1139385134030387,0.1139311050804791,2,0.1108249514463367
セントラル総合開発,0.0465151995440224,0.0582922422862761,0.0456380262274088,0.047120463367455,0.04567918390644,0.0453500516826169,0.0456741535171555,5,0.0453500516826169
ディア・ライフ,0.0924136237923566,0.0957667881998576,0.0912252797772524,0.0901254374481177,0.0894558406722891,0.0895578354410651,0.0902511548248416,4,0.0894558406722891
プロパスト,0.0816671326379596,0.0870548739673925,0.0831932776180321,0.0824455507773206,0.090080661728244,0.0845685471842879,0.0767426534924659,6,0.0767426534924659
日本エスコン,0.0420330249329393,0.0454518369448672,0.0457963284888971,0.0365888885288259,0.0358906274346371,0.0348805850950246,0.0415466161862174,5,0.0348805850950246
日神グループホールディングス,0.0410782584883305,0.0411177988390662,0.0394073932993391,0.0411552613483416,0.0413712694711425,0.0421753298923168,0.0414462188503276,2,0.0394073932993391
明和地所,0.0607378267583219,0.0719932634271867,0.0632516884939066,0.0624863513083416,0.0632198469154037,0.0637002116743277,0.0619107259708098,0,0.0607378267583219
明豊エンタープライズ,0.1110832991610928,0.1014327130212138,0.0857278679901908,0.1117743429828649,0.0964084425535004,0.110720569518761,0.1015069140045815,2,0.0857278679901908
